nat_demand,holiday,school,avg_T2M,avg_QV2M,avg_TQL,avg_W2M,season,month,day_of_week,hour_of_day,is_weekend,year,nat_demand_1hr_lag,nat_demand_24hr_lag,nat_demand_1week_lag
1328.2453,0,0,28.52064412434898,0.015153058333333335,0.07745615533333333,11.578531392189992,1,3,4,18,0,2019,1328.3477,1316.5956,1315.2617
1375.9873,0,0,27.261448160807316,0.015385510333333333,0.07759348533333334,11.705344469309251,1,3,4,19,0,2019,1328.2453,1366.0649,1372.1307
1339.6444,0,0,26.433567301432316,0.015637705666666665,0.07449086433333334,11.491595090827039,1,3,4,20,0,2019,1375.9873,1333.676,1335.6794
1293.5782,0,0,25.899702962239612,0.01575955733333333,0.07286834666666667,11.317431602085444,1,3,4,21,0,2019,1339.6444,1303.6848,1302.8957
1243.0875999999998,0,0,25.50952555338544,0.01588977,0.06980132933333333,11.65459557828711,1,3,4,22,0,2019,1293.5782,1251.4399,1288.2654
1200.1036,0,0,25.156711832682316,0.016023421,0.060918172,12.038701863694891,1,3,4,23,0,2019,1243.0875999999998,1193.0447,1232.2075
1133.7333,1,0,24.834375000000023,0.016117664,0.054702759,12.026867168455022,1,3,5,0,1,2019,1200.1036,1135.8766,1156.1752
1110.8357,1,0,24.541162109375023,0.016162779000000002,0.05379994866666667,11.508915759539674,1,3,5,1,1,2019,1133.7333,1086.2738000000002,1118.1999
1068.8962,1,0,24.303074137369816,0.016189022,0.053106943333333344,10.78508875385427,1,3,5,2,1,2019,1110.8357,1046.204,1074.8631
1042.6204,1,0,24.12604166666669,0.016174630666666665,0.05153274533333333,10.208993893691764,1,3,5,3,1,2019,1068.8962,1016.4425,1059.5068
1018.8005,1,0,23.976444498697944,0.016156340666666668,0.04759025633333334,9.534959155030231,1,3,5,4,1,2019,1042.6204,1001.1589,1042.3936
1006.4757,1,0,23.84956258138023,0.01615306533333333,0.04210408466666667,8.80674278826025,1,3,5,5,1,2019,1018.8005,1009.31,1061.74
984.7884,1,0,23.837721761067737,0.01615248433333333,0.03683757793333333,8.420267979959325,1,3,5,6,1,2019,1006.4757,1017.3351,1031.7978
1016.7012,1,0,24.99615885416669,0.0160172755,0.03537432333333333,10.5104600744784,1,3,5,7,1,2019,984.7884,1109.6468,1085.6551
1118.6685,1,0,26.856571451822944,0.015602461,0.027170180666666665,11.45206508602466,1,3,5,8,1,2019,1016.7012,1282.2689,1201.9632
1198.9324,1,0,28.812972005208355,0.015127901666666667,0.017068227333333335,10.837265959162153,1,3,5,9,1,2019,1118.6685,1371.1583,1306.6129
1273.2374,1,0,30.644982910156273,0.014848079,0.010952631566666668,9.77846314271382,1,3,5,10,1,2019,1198.9324,1452.3379,1379.0256
1295.3754,1,0,32.10602213541669,0.014792108666666666,0.008676528866666667,8.720873151623373,1,3,5,11,1,2019,1273.2374,1498.9345999999998,1408.1047
1272.4684,1,0,33.18455403645836,0.014526385666666667,0.014617920133333332,8.305493058162385,1,3,5,12,1,2019,1295.3754,1501.3163,1390.711
1279.937,1,0,33.85785319010419,0.014174220666666666,0.027782757783333334,8.533485692290741,1,3,5,13,1,2019,1272.4684,1529.3711,1384.0267
1253.5971000000002,1,0,33.88160603841148,0.014021750166666666,0.05451202433333333,9.252154251971541,1,3,5,14,1,2019,1279.937,1540.1642,1359.4443
1222.9379,1,0,33.21638387044273,0.014090651666666667,0.08182271333333334,10.12166364829215,1,3,5,15,1,2019,1253.5971000000002,1504.5022,1326.9253
1189.7708,1,0,32.0533386230469,0.014323838,0.08162434833333333,11.1740979369148,1,3,5,16,1,2019,1222.9379,1422.1361,1303.4314
1151.7353999999998,1,0,30.477441406250023,0.014572608333333334,0.074849448,12.239107726287216,1,3,5,17,1,2019,1189.7708,1328.3477,1251.3823000000002
1173.72,1,0,28.58496500651044,0.014938003333333333,0.06620788533333334,11.973992632420192,1,3,5,18,1,2019,1151.7353999999998,1328.2453,1252.7444
1262.155,1,0,27.216475423177105,0.015289095,0.056762695,11.697203320459993,1,3,5,19,1,2019,1173.72,1375.9873,1308.9748000000002
1230.7459,1,0,26.30512898763023,0.015646146833333333,0.058629354,11.7406179264956,1,3,5,20,1,2019,1262.155,1339.6444,1304.7663
1206.4893000000002,1,0,25.632297770182316,0.015880088666666667,0.05958557166666667,12.635230257992001,1,3,5,21,1,2019,1230.7459,1293.5782,1260.7166
1154.6691999999998,1,0,25.185520426432316,0.016018496000000004,0.06981404566666667,13.046607926614593,1,3,5,22,1,2019,1206.4893000000002,1243.0875999999998,1221.0499
1101.7583,1,0,24.81097819010419,0.016114787666666668,0.07748413133333333,12.805818885653705,1,3,5,23,1,2019,1154.6691999999998,1200.1036,1195.3113
1044.2021,1,0,24.498325602213566,0.016154908333333332,0.07661438,12.435440639153704,1,3,6,0,1,2019,1101.7583,1133.7333,1161.7326
999.4346000000002,1,0,24.255344645182316,0.016133887333333333,0.07277933866666668,11.960864723618316,1,3,6,1,1,2019,1044.2021,1110.8357,1093.3638
970.9711,1,0,24.062371826171898,0.016039133333333334,0.06690470333333333,11.401347097898318,1,3,6,2,1,2019,999.4346000000002,1068.8962,1056.7297
946.7948,1,0,23.88843180338544,0.015916480333333333,0.06155649733333333,10.73415627149354,1,3,6,3,1,2019,970.9711,1042.6204,1030.7367
931.5537,1,0,23.708225504557316,0.015819342,0.055215199666666666,9.675374826007875,1,3,6,4,1,2019,946.7948,1018.8005,1008.0522
918.1785,1,0,23.572798665364612,0.015760375500000003,0.050673166,8.683108091675297,1,3,6,5,1,2019,931.5537,1006.4757,1007.6668
871.5023,1,0,23.568210856119816,0.015752298666666668,0.0436464945,8.190629369803522,1,3,6,6,1,2019,918.1785,984.7884,979.748
879.7832000000001,1,0,24.65454508463544,0.015698578,0.04032134983333333,10.079410388869716,1,3,6,7,1,2019,871.5023,1016.7012,980.8111
906.8306,1,0,26.443566894531276,0.015281189666666667,0.03567568383333333,11.089750013465123,1,3,6,8,1,2019,879.7832000000001,1118.6685,1026.77
960.2816,1,0,28.40864461263023,0.014816902,0.034490585500000004,10.303359148572444,1,3,6,9,1,2019,906.8306,1198.9324,1076.0926000000002
1011.3228,1,0,30.19862263997398,0.014510497333333332,0.03698348923333333,9.462232310720037,1,3,6,10,1,2019,960.2816,1273.2374,1145.2689
1038.8783,1,0,31.61579793294273,0.014621365333333336,0.0414136259,8.776741375147308,1,3,6,11,1,2019,1011.3228,1295.3754,1171.9574
1057.5795,1,0,32.62461751302086,0.014436157,0.055422465000000004,8.561209920137363,1,3,6,12,1,2019,1038.8783,1272.4684,1201.4085
1065.286,1,0,33.23757324218752,0.0140740835,0.06631056596666667,9.048466475090335,1,3,6,13,1,2019,1057.5795,1279.937,1209.5484
1074.2104000000002,1,0,33.28666585286461,0.013901331333333334,0.07468732313333333,9.902371486863318,1,3,6,14,1,2019,1065.286,1253.5971000000002,1226.8317
1082.9792,1,0,32.79359334309898,0.013950023333333334,0.09035237433333333,10.736814549423206,1,3,6,15,1,2019,1074.2104000000002,1222.9379,1217.9641
1081.7066,1,0,31.685225423177105,0.014107090000000001,0.09271748833333333,11.544494596943395,1,3,6,16,1,2019,1082.9792,1189.7708,1192.4461
1065.8292,1,0,30.123864746093773,0.014310314833333332,0.08534749500000001,12.19306784076315,1,3,6,17,1,2019,1081.7066,1151.7353999999998,1161.0272
1114.2567,1,0,28.2905212402344,0.014629957333333332,0.062845865,12.193708767743763,1,3,6,18,1,2019,1065.8292,1173.72,1198.2277
1162.3179,1,0,26.88867594401044,0.014962688333333333,0.041961669666666666,12.345811048548496,1,3,6,19,1,2019,1114.2567,1262.155,1270.9927
1158.2233,1,0,25.979292805989612,0.015221028833333336,0.027308146333333335,12.097548052587571,1,3,6,20,1,2019,1162.3179,1230.7459,1252.0293
1146.3603999999998,1,0,25.42032267252607,0.015290593333333333,0.02301534,12.023724950481986,1,3,6,21,1,2019,1158.2233,1206.4893000000002,1258.4292
1105.8074,1,0,25.002038574218773,0.015329941,0.022524515999999998,11.969713814440652,1,3,6,22,1,2019,1146.3603999999998,1154.6691999999998,1227.3539
1061.4334,1,0,24.659570312500023,0.015354630333333334,0.02253977466666667,11.863275912833616,1,3,6,23,1,2019,1105.8074,1101.7583,1179.6729
1026.6111,1,0,24.366682942708355,0.015379784333333335,0.020959218333333335,11.630374205454316,1,3,0,0,0,2019,1061.4334,1044.2021,1122.9442
994.2339,1,0,24.122298177083355,0.015387378,0.019117991,11.328187012628623,1,3,0,1,0,2019,1026.6111,999.4346000000002,1090.3546
963.8712,1,0,23.902663167317737,0.015400951666666664,0.017823537166666667,11.018503315090024,1,3,0,2,0,2019,994.2339,970.9711,1055.5132
937.7935,1,0,23.69659830729169,0.015428797333333334,0.016516367666666667,10.655629154531784,1,3,0,3,0,2019,963.8712,946.7948,1042.8195
927.0085,1,0,23.520837402343773,0.015472073999999997,0.017431895,10.28259052393313,1,3,0,4,0,2019,937.7935,931.5537,1030.2582
929.1487,1,0,23.357985432942737,0.015531915333333332,0.019728342333333333,9.865309521459743,1,3,0,5,0,2019,927.0085,918.1785,1048.8951
904.9782,1,0,23.345686848958355,0.015566325,0.021759033333333334,9.84336625579031,1,3,0,6,0,2019,929.1487,871.5023,1069.3811999999998
927.5577,1,0,24.458551025390648,0.015479953333333333,0.025547027333333333,12.002883236893263,1,3,0,7,0,2019,904.9782,879.7832000000001,1170.9028
1001.2583,1,0,26.305586751302105,0.01505794,0.027990340566666664,13.068722392567729,1,3,0,8,0,2019,927.5577,906.8306,1342.4276
1064.4685000000002,1,0,28.19769694010419,0.014586418333333332,0.026258468333333337,12.486600029396053,1,3,0,9,0,2019,1001.2583,960.2816,1428.2656
1116.0945000000002,1,0,29.907128906250023,0.014285369333333332,0.02240371766666667,11.162647663311832,1,3,0,10,0,2019,1064.4685000000002,1011.3228,1513.2006
1162.4484,1,0,31.295749918619816,0.014278010666666667,0.020603180099999997,9.691059765841677,1,3,0,11,0,2019,1116.0945000000002,1038.8783,1555.3402999999998
1169.6203,1,0,32.33850504557294,0.014276887666666667,0.0217940012,8.843687910745555,1,3,0,12,0,2019,1162.4484,1057.5795,1559.6596
1190.4837,1,0,33.00236409505211,0.014082444833333332,0.024458249666666664,8.715974194119665,1,3,0,13,0,2019,1169.6203,1065.286,1570.8886
1181.3749,1,0,33.22335205078127,0.013966898333333333,0.03193600986666667,9.128827271739754,1,3,0,14,0,2019,1190.4837,1074.2104000000002,1564.8168
1176.1882,1,0,32.91609090169273,0.013996403666666666,0.048337301,9.733254139254937,1,3,0,15,0,2019,1181.3749,1082.9792,1532.4743
1155.5581000000002,1,0,31.954197184244816,0.014179835833333335,0.063313802,10.589411160707227,1,3,0,16,0,2019,1176.1882,1081.7066,1476.4022
1125.3364,1,0,30.373335774739605,0.014574442,0.07130940866666667,11.386536495966984,1,3,0,17,0,2019,1155.5581000000002,1065.8292,1357.7824
1154.6143,1,0,28.456933593750023,0.015077039,0.07466634133333333,11.183458602364375,1,3,0,18,0,2019,1125.3364,1114.2567,1335.5947
1204.7355,1,0,27.179162597656276,0.015383489,0.06507873666666666,11.32801500564698,1,3,0,19,0,2019,1154.6143,1162.3179,1376.1281
1183.9264,1,0,26.37524820963544,0.015627418,0.056020099999999996,11.257443615321483,1,3,0,20,0,2019,1204.7355,1158.2233,1345.9118
1156.8766,1,0,25.807051595052105,0.015769479666666666,0.04902140333333333,11.278566235986288,1,3,0,21,0,2019,1183.9264,1146.3603999999998,1295.2858
1114.2564000000002,1,0,25.36465861002607,0.015769166999999997,0.04616292333333333,11.498635712258908,1,3,0,22,0,2019,1156.8766,1105.8074,1261.3249999999998
1051.8331,1,0,24.971897379557316,0.01573804083333333,0.041554768666666665,11.156202552861776,1,3,0,23,0,2019,1114.2564000000002,1061.4334,1196.4639
1028.4306,1,0,24.602563476562523,0.015726134666666666,0.038116455333333334,10.772385042986217,1,3,1,0,0,2019,1051.8331,1026.6111,1133.3471
994.9005,1,0,24.265720621744816,0.015722211333333333,0.03525797433333333,10.75210698291985,1,3,1,1,0,2019,1028.4306,994.2339,1093.5065
920.0551,1,0,23.981347656250023,0.01575174966666667,0.03613789866666667,10.917035829632901,1,3,1,2,0,2019,994.9005,963.8712,1055.2315
